Talasna duzina_Tirkizna [nm]	 Intenzitet svetlosti_Tirkizna [cd]
789.521	43.97999954
790.081	23.12000084
790.641	33.06000137
791.201	27.47999954
791.761	36.54000092
792.321	33.22000122
792.881	31.84000015
793.441	31.86000061
794.001	34.91999817
794.560	17.54000092
795.120	25.87999916
795.680	25.81999969
796.239	25.36000061
796.799	30.29999924
797.358	23.52000046
797.918	27.86000061
798.477	26.23999977
799.036	23.12000084
799.596	23.87999916
800.155	11.69999981
800.714	22.89999962
801.273	26.62000084
801.832	21.63999939
802.391	26.15999985
802.950	22.15999985
803.509	23.52000046
804.068	32.90000153
804.627	18.70000076
805.186	21.12000084
805.744	14.18000031
806.303	19.5
806.862	36.52000046
807.420	32.29999924
807.979	20.44000053
808.537	20.97999954
809.096	35.91999817
809.654	30.5
810.212	18.52000046
810.771	15.85999966
811.329	24.97999954
811.887	25.37999916
812.445	20.12000084
813.003	22.37999916
813.561	36.11999893
814.119	32.77999878
814.677	21.39999962
815.235	28.26000023
815.793	17.94000053
816.351	26.73999977
816.908	26.31999969
817.466	26.63999939
818.024	32.29999924
818.581	30.44000053
819.139	29.57999992
819.696	30.95999908
820.253	26.92000008
820.811	42.74000168
821.368	31.52000046
821.925	35.38000107
822.483	29
823.040	31.97999954
823.597	34.86000061
824.154	26.65999985
824.711	30.04000092
825.268	20.71999931
825.825	35.56000137
826.382	25.86000061
826.939	27.76000023
827.495	35.5
828.052	27.13999939
828.609	40.61999893
829.165	34.04000092
829.722	33.41999817
830.278	28.94000053
830.835	35.04000092
831.391	19.20000076
831.948	34.81999969
832.504	36.34000015
833.060	33.20000076
833.616	34.74000168
834.172	24.57999992
834.729	29.68000031
835.285	27.94000053
835.841	39.54000092
836.397	27.57999992
836.952	29.71999931
837.508	32.93999863
838.064	28.28000069
838.620	40.5
839.176	35.86000061
839.731	43.25999832
840.287	32.38000107
840.842	37.22000122
841.398	39.24000168
841.953	31.52000046
842.509	43.02000046
843.064	34.36000061
843.619	40.40000153
844.174	33.11999893
844.730	37.15999985
845.285	32.52000046
845.840	33.58000183
846.395	38.20000076
846.950	30.34000015
847.505	49.15999985
848.060	42.70000076
848.614	40.22000122
849.169	28.84000015
849.724	35.08000183
850.278	39.43999863
850.833	34.06000137
851.388	26.81999969
851.942	23.70000076
852.497	40.45999908
853.051	34.59999847
853.605	36.08000183
854.160	42.09999847
854.714	33.93999863
855.268	27.87999916
855.822	40.29999924
856.376	32.93999863
856.930	27.73999977
857.484	40.43999863
858.038	34.91999817
858.592	39.68000031
859.146	44.75999832
859.700	29.62000084
860.253	24.84000015
860.807	33.43999863
861.361	30.89999962
861.914	35.45999908
862.468	38.75999832
863.021	36.70000076
863.575	40.56000137
864.128	26.97999954
864.681	33.74000168
865.235	43.09999847
865.788	41.43999863
866.341	28.15999985
866.894	25.44000053
867.447	39.91999817
868.000	32.54000092
868.553	36.27999878
869.106	35.95999908
869.659	25.10000038
870.211	33.52000046
870.764	29.94000053
871.317	30.89999962
871.870	30.81999969
872.422	29.45999908
872.975	31.44000053
873.527	29.34000015
874.079	39.90000153
874.632	31.65999985
875.184	34.52000046
875.736	36.36000061
876.289	36.93999863
876.841	26.89999962
877.393	41.22000122
877.945	21.63999939
878.497	32.61999893
879.049	31.84000015
879.601	33.52000046
880.152	29.68000031
880.704	35.40000153
881.256	33.06000137
881.808	33.88000107
882.359	32.45999908
882.911	41.5
883.462	27.29999924
884.014	21.54000092
884.565	33.22000122
885.117	34.38000107
885.668	31.86000061
886.219	31.95999908
886.770	28.52000046
887.321	35.41999817
887.872	31.20000076
888.424	37.15999985
888.974	17.60000038
889.525	44.25999832
890.076	26.23999977
890.627	24.63999939
891.178	28.28000069
891.729	38.08000183
892.279	27.87999916
892.830	33.56000137
893.380	26.52000046
893.931	34.27999878
894.481	28.60000038
895.032	36.15999985
895.582	30.63999939
896.132	29.15999985
896.682	28.5
897.233	25.12000084
897.783	34.06000137
898.333	34.54000092
898.883	23.23999977
899.433	36
899.983	23.62000084
900.533	28.55999947
901.082	22.47999954
901.632	25.78000069
902.182	38.22000122
902.731	26.63999939
903.281	27.28000069
903.831	36.75999832
904.380	33.22000122
904.929	26.71999931
905.479	25.78000069
906.028	28.31999969
906.577	26.13999939
907.127	35.95999908
907.676	22.86000061
908.225	30.15999985
908.774	36.75999832
909.323	22.71999931
909.872	23.47999954
910.421	34.08000183
910.969	31.26000023
911.518	28.62000084
912.067	24.81999969
912.616	25
913.164	21.89999962
913.713	26.31999969
914.261	33.40000153
914.810	29.92000008
915.358	32.08000183
915.906	16.86000061
916.455	20.76000023
917.003	28.15999985
917.551	24.28000069
918.099	22.97999954
918.647	29.12000084
919.195	17.05999947
919.743	39.11999893
920.291	26.97999954
920.839	23.05999947
921.387	20.62000084
921.934	19.29999924
922.482	29.28000069
923.030	30.04000092
923.577	23.05999947
924.125	35.88000107
924.672	14.53999996
925.219	22.34000015
925.767	18.78000069
926.314	21.37999916
926.861	18.73999977
927.409	38.97999954
927.956	27.62000084
928.503	20.05999947
929.050	16.39999962
929.597	23.60000038
930.143	29.26000023
930.690	32.25999832
931.237	32.45999908
931.784	24.12000084
932.331	25.78000069
932.877	23.37999916
933.424	16.57999992
933.970	20.45999908
934.517	21.81999969
935.063	16.36000061
935.609	20.55999947
936.156	15.02000046
936.702	16.86000061
937.248	15.97999954
937.794	23.42000008
938.340	24.62000084
938.886	17.23999977
939.432	16.94000053
939.978	27.55999947
940.524	20.37999916
941.070	20.13999939
941.616	15.68000031
942.161	23.36000061
942.707	13.60000038
943.252	23.21999931
943.798	7.519999981
944.343	20.71999931
944.889	14.57999992
945.434	15.57999992
945.979	19.02000046
946.525	19.07999992
947.070	24.52000046
947.615	11.81999969
948.160	16.97999954
948.705	13.97999954
949.250	24.55999947
949.795	21.95999908
950.340	17.57999992
950.884	19.81999969
951.429	7.699999809
951.974	14.73999977
952.518	7.599999905
953.063	22.23999977
953.607	6.21999979
954.152	6.059999943
954.696	15.11999989
955.241	27.62000084
955.785	21.37999916
956.329	9.159999847
956.873	8.260000229
957.417	15.02000046
957.961	2.24000001
958.505	13.34000015
959.049	5.679999828
959.593	14.03999996
960.137	9.880000114
960.681	15.46000004
961.224	11.80000019
961.768	25.45999908
962.312	12.10000038
962.855	14.77999973
963.399	6.880000114
963.942	9.720000267
964.486	20.20000076
965.029	10.22000027
965.572	15.14000034
966.115	26.13999939
966.658	5.860000134
967.202	6.71999979
967.745	11.93999958
968.288	23.55999947
968.830	5.380000114
969.373	15.92000008
969.916	5.059999943
970.459	10.47999954
971.002	11.56000042
971.544	21.63999939
972.087	13.07999992
972.629	13.14000034
973.172	5.699999809
973.714	6.059999943
974.256	11.18000031
974.799	19.57999992
975.341	13.68000031
975.883	7.579999924
